city,timeConstraint,knapTimeTaken,heuristicTimeTaken,knapScore,heuristicScore
tokyo,12,1.28,1.28,912.46,912.46
tokyo,10,1.00,1.01,838.80,838.80
tokyo,12,1.80,1.83,1233.38,1233.38
tokyo,10,1.45,1.44,1109.83,1109.83
tokyo,12,1.77,1.79,1600.65,1600.65
tokyo,10,1.71,1.72,1411.83,1411.83
california,12,24.75,15.84,919.59,474.56
california,10,24.32,15.63,802.38,342.46
california,12,48.56,30.93,1030.27,516.93
california,10,31.31,26.16,1022.24,417.08
california,12,60.37,39.96,1250.43,589.97
california,10,43.25,32.23,1233.67,600.41
london,12,1.52,1.49,449.93,449.93
london,10,0.85,0.85,419.20,419.20
london,12,1.63,1.67,646.30,646.30
london,10,1.67,1.67,549.18,549.18
london,12,2.27,2.27,664.18,664.18
london,10,1.93,1.95,629.28,629.28
new-york-city,12,26.19,14.48,856.70,618.08
new-york-city,10,26.04,12.07,754.70,520.21
new-york-city,12,28.33,21.75,1168.06,774.69
new-york-city,10,27.65,20.84,1009.68,643.44
new-york-city,12,36.27,29.65,1386.90,951.16
new-york-city,10,33.07,26.28,1117.62,742.05
osaka,12,1.35,1.35,657.56,657.56
osaka,10,1.52,1.44,537.31,537.31
osaka,12,2.07,2.13,913.38,913.38
osaka,10,1.91,2.00,761.73,761.73
osaka,12,2.77,2.84,1112.63,1112.63
osaka,10,2.43,2.45,945.62,945.62
paris,12,1.44,1.40,775.72,775.72
paris,10,1.15,1.15,662.13,662.13
paris,12,1.64,1.65,1097.19,1097.19
paris,10,1.52,1.52,930.08,930.08
paris,12,1.72,1.71,1092.06,1092.06
paris,10,1.99,1.95,1112.83,1112.83
taipei,12,0.91,0.85,510.89,510.89
taipei,10,0.79,0.79,431.60,431.60
taipei,12,0.91,0.93,709.21,709.21
taipei,10,1.21,1.20,530.95,530.95
taipei,12,1.45,1.48,833.07,833.07
taipei,10,1.39,1.39,694.46,694.46
